IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP27;IP_PROP29;IP_PROP28;IP_PROP30;IP_PROP31;IP_PROP32;IP_PROP33;IP_PROP34;IP_PROP35;IP_PROP36;IP_PROP37;IP_PROP38;IC_GROUP0;IC_GROUP1;IC_GROUP2
425;Axoft Belarus;354;Y;;;/upload/iblock/20e/20e9005eddbed0a23d65bbf915a9dfaa.png;;html;;;text;axoft-belarus;105;;hko37enu;Belarus;347;AXOFT Belarus;;https://store.softline.by/catalog/sapr;;;info@axoft.by;+375 (17) 290-77-93;Distributor;Renga;;;
430;Tricadselection;355;Y;;;/upload/iblock/76b/76b408506ce4c0b6c30725854bb93f67.png;;html;;;text;tricad-belgium;106;;hko37enu;Belgium;375;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;(+31) 0519-562602;Reseller;KOMPAS;;;
430;Tricadselection;355;Y;;;/upload/iblock/76b/76b408506ce4c0b6c30725854bb93f67.png;;html;;;text;tricad-belgium;106;;hko37enu;Belgium;375;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;(+31) 0519-562602;Reseller;Pilot;;;
430;Tricadselection;355;Y;;;/upload/iblock/76b/76b408506ce4c0b6c30725854bb93f67.png;;html;;;text;tricad-belgium;106;;hko37enu;Belgium;375;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;(+31) 0519-562602;Reseller;Renga;;;
431;Rapid Progress;356;Y;;;/upload/iblock/5f0/5f0e633ebe86cb9d28be538537e8bb8c.png;;html;;;text;rapid-progress;107;;kzqwnfd2;Bulgaria;;Rapid Progress Ltd;;http://www.rapidprogress.eu/en/home_en/;http://kompas3d.bg/;;info@rapidprogress.eu;+359 (0) 700 20408;Reseller;KOMPAS;;;
433;CADservis;357;Y;;;/upload/iblock/da9/da9d9a09bc7e642e9f2df342617487ad.png;;html;;;text;cadservis;109;;kzqwnfd2;Czech Republic;;CADservis, s.r.o.;;https://www.cadservis.com/;http://www.kompas-3d.cz;;info@cadservis.com;+420 553 730 029;Reseller;KOMPAS;;;
434;AbraCAD Czech Republic;358;Y;;;/upload/iblock/2d4/2d4dc4baf9d21de975cd0f25990af84a.png;;html;;;text;abracad-czech;109;;hko37enu;Czech Republic;364;AbraCAD Czech Republic;;www.abracad.de/masterpagecz.html;страница не существует;уточнить;уточнить;уточнить;Reseller;KOMPAS;;;
438;OPAL;359;Y;;;/upload/iblock/fcc/fcc2ca0dee0cc56332331f238608baae.png;;html;;;text;opal;110;;kzqwnfd2;France;;OPAL Ingénierie - Département OpenCAD;;http://opal-system.com/;http://www.kompas3d.fr;;info@opal-system.com;+33 0 2 47 91 69 02;Reseller;KOMPAS;;;
442;Seitz Ingenieur;360;Y;;;/upload/iblock/10d/10ded7985cbcc08f95ce4a1b39da55b2.png;;html;;;text;seitz-ingenieur;111;;kzqwnfd2;Germany;;A. Seitz Ingenieur GmbH;;https://www.seitz-ingenieure.de/;;;vertrieb@seitz-ingenieure.de;+49 (0) 69-9 45 07 25-0;Reseller;KOMPAS;;;
443;Center4CNC;361;Y;;;/upload/iblock/6ee/6ee39ebb22fbc4c5b090c6f28633ff7d.png;;html;;;text;center4cnc;111;;kzqwnfd2;Germany;;Center4CNC GmbH & Co. KG;;https://center4cnc.de/;;;info@center4cnc.de;+49 (0) 8191 33 777;Reseller;KOMPAS;;;
444;SATTLER;362;Y;;;/upload/iblock/e83/e83bd261eb52668b81921f7eebfaf6b1.png;;html;;;text;sattler;111;;kzqwnfd2;Germany;;SATTLER media & datasystems;;http://sattler3d.com/;http://kompas3d.com/;;mail@sattler3d.com;+49 (0)361 2168230;Expert Reseller;KOMPAS;;;
445;POLZIN;363;Y;;;/upload/iblock/985/98559d6dd03edb2a3c3a925be4bb40a8.png;;html;;;text;polzin;111;;kzqwnfd2;Germany;;POLZIN Systemhaus;;https://polzin.de/;https://www.k3d-rheinland.de/;;info@polzin.de;+49 (0) 228 98736-0;Reseller;KOMPAS;;;
446;AbraCAD Germany;364;Y;;;/upload/iblock/e9d/e9d3aac6d7aa9c908b1a60b31c98142e.png;;html;;;text;abracad-germany;111;;kzqwnfd2;Germany;;AbraCAD Germany;;www.abracad.de;http://www.abracad.de/;уточнить;post@abracad.de;+49 (9233) 775-39-32;Reseller;KOMPAS;;;
449;Trendsol;365;Y;;;/upload/iblock/a39/a397994505a2eddd564d0b439cf9de17.png;;html;;;text;trendsol;112;;kzqwnfd2;Hungary;;Trendsol Ltd.;;http://trendsol.hu/;http://trendsol.hu/kompas-3d/;;bodor.istvan@trendsol.hu;+36 30 933 7359;Reseller;KOMPAS;;;
451;IBS AG;366;Y;;;/upload/iblock/4a0/4a0e845eabb8033d2dbf4821f249011c.png;;html;;;text;ibs;116;;kzqwnfd2;Liechtenstein;;IBS AG;;https://ibs-cad.net/;;;info@cad-coaching.com;+423 376 72 72;Reseller;KOMPAS;;;
453;Tricadsdelection;367;Y;;;/upload/iblock/50a/50a0047a74ba356ac4a5535c828d0152.png;;html;;;text;tricad-luxembourg;117;;hko37enu;Luxembourg;375;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;00 31 519 562602;Expert Reseller;KOMPAS;;;
453;Tricadsdelection;367;Y;;;/upload/iblock/50a/50a0047a74ba356ac4a5535c828d0152.png;;html;;;text;tricad-luxembourg;117;;hko37enu;Luxembourg;375;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;00 31 519 562602;Expert Reseller;Pilot;;;
453;Tricadsdelection;367;Y;;;/upload/iblock/50a/50a0047a74ba356ac4a5535c828d0152.png;;html;;;text;tricad-luxembourg;117;;hko37enu;Luxembourg;375;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;00 31 519 562602;Expert Reseller;Renga;;;
454;JL Systems;368;Y;;;/upload/iblock/63c/63c92c1a87288902d82f518ec9896dd7.png;;html;;;text;jl-systems;129;;kzqwnfd2;Sweden;;JL Systems Group;;https://www.jl-systems.se/;;;info@jl-systems.se;+46 0 35-7777030;Reseller;KOMPAS;;;
454;JL Systems;368;Y;;;/upload/iblock/63c/63c92c1a87288902d82f518ec9896dd7.png;;html;;;text;jl-systems;129;;kzqwnfd2;Sweden;;JL Systems Group;;https://www.jl-systems.se/;;;support@jl-labs.com;+46 0 35-7777030;Reseller;KOMPAS;;;
455;Szansa;369;Y;;;/upload/iblock/1ef/1ef2e7be0657eb541fe2bc32bb94c40a.png;;html;;;text;szansa;123;;kzqwnfd2;Poland;;Usługi Informatyczne SZANSA Spółka z o.o.;;https://www.kompas-3d.pl/;;;gaba@szansa.net.pl;(033) 307 01 95;Reseller;KOMPAS;;;
456;Cadsoft;370;Y;;;/upload/iblock/c9a/c9a0b3ce68be3018a60f566475ae995d.png;;html;;;text;cadsoft;124;;kzqwnfd2;Portugal;;CADSOFT;;https://www.cadsoft.pt/;;;cadsoft@sapo.pt;+351 91 873 2332;Reseller;KOMPAS;;;
459;Cadsoft;371;Y;;;/upload/iblock/872/87221bf00417e8c00832f0734a986ca6.png;;html;;;text;cadsoft-spain;128;;hko37enu;Spain;370;CADSOFT;;https://www.cadsoft.pt/;;;cadsoft@sapo.pt;+351 91 873 2332;Reseller;KOMPAS;;;
460;JL Systems;372;Y;;;/upload/iblock/1dd/1ddc9c3d5422713ea45a6e8dde5f4792.png;;html;;;text;jl-systems-norway;122;;hko37enu;Norway;368;JL Systems Group;;https://www.jl-systems.se;;;info@jl-systems.se;+46 0 35-7777030;Reseller;KOMPAS;;;
461;ARCAM;373;Y;;;/upload/iblock/4f0/4f03a6a7819c7a2c10771d5eb8881041.png;;html;;;text;arcam-swit;130;;kzqwnfd2;Switzerland;;ARCAM;/upload/iblock/b68/b68ca03cd63785e0f50f36f4132d0315.svg;http://www.arcam.ch;;;info@arcam.ch;+41 0 21 9033096;Expert Reseller;KOMPAS;;;
461;ARCAM;373;Y;;;/upload/iblock/4f0/4f03a6a7819c7a2c10771d5eb8881041.png;;html;;;text;arcam-swit;130;;kzqwnfd2;Switzerland;;ARCAM;/upload/iblock/b68/b68ca03cd63785e0f50f36f4132d0315.svg;http://www.arcam.ch;;;info@arcam.ch;+41 079 2717408;Expert Reseller;KOMPAS;;;
462;CADTEC;374;Y;;;/upload/iblock/11d/11d1c6011563416feb61e729b11e42de.png;;html;;;text;cadtec;130;;kzqwnfd2;Switzerland;;CADTEC Schweiz GmbH;;https://cadtec.ch/;http://www.k3d.ch/;;info@cadtec.ch;+41 (0)44 585 30 31;Expert Reseller;KOMPAS;;;
464;Tricadsdelection Nederland;375;Y;;;/upload/iblock/fbd/fbd32347b4ae96c113c0dc412a9b0ae0.png;;html;;;text;tricad-nederl;120;;kzqwnfd2;Netherlands (Holland);;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;00 31 519 562602;Expert Reseller;KOMPAS;;;
464;Tricadsdelection Nederland;375;Y;;;/upload/iblock/fbd/fbd32347b4ae96c113c0dc412a9b0ae0.png;;html;;;text;tricad-nederl;120;;kzqwnfd2;Netherlands (Holland);;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;00 31 519 562602;Expert Reseller;Pilot;;;
464;Tricadsdelection Nederland;375;Y;;;/upload/iblock/fbd/fbd32347b4ae96c113c0dc412a9b0ae0.png;;html;;;text;tricad-nederl;120;;kzqwnfd2;Netherlands (Holland);;Tricadsdelection Nederland;;https://www.tricadselection.nl/;https://www.tricadselection.nl/kompas-3d-cad/;;info@tricadselection.nl;00 31 519 562602;Expert Reseller;Renga;;;
466;Center SAPR;376;Y;;;/upload/iblock/43b/43b5e5d175eae1698023904ae8f55227.png;;html;;;text;center-sapr;133;;kzqwnfd2;Ukraine;;Center SAPR;;http://www.center-sapr.com;;;info@center-sapr.com;+380 32 297-66-17;Expert Reseller;KOMPAS;;;
466;Center SAPR;376;Y;;;/upload/iblock/43b/43b5e5d175eae1698023904ae8f55227.png;;html;;;text;center-sapr;133;;kzqwnfd2;Ukraine;;Center SAPR;;http://www.center-sapr.com;;;info@center-sapr.com;+380 32 297-66-17;Expert Reseller;Pilot;;;
466;Center SAPR;376;Y;;;/upload/iblock/43b/43b5e5d175eae1698023904ae8f55227.png;;html;;;text;center-sapr;133;;kzqwnfd2;Ukraine;;Center SAPR;;http://www.center-sapr.com;;;info@center-sapr.com;+380 32 297-66-17;Expert Reseller;Renga;;;
472;Nolin;377;Y;;;/upload/iblock/0a5/0a50ab97f240c8051b15fa3de941bf10.png;;html;;;text;nolin;114;;kzqwnfd2;India;;Nolin CAD & Engineering Services;;http://nolincad.com/index.html;http://nolincad.com/Kompas.html;;nolinchitnis@gmail.com;+91-(0)9820927109;Reseller;KOMPAS;;;
473;PAVIATH;378;Y;;;/upload/iblock/771/771e17f2d7936a4808a2329f21db7ba2.png;;html;;;text;paviath;114;;kzqwnfd2;India;;PAVIATH ENGINEERING SOLUTION;;https://www.paviathintegratedsolution.com/;;;info@paviathintegratedsolution.com;914312480496;Reseller;KOMPAS;;;
473;PAVIATH;378;Y;;;/upload/iblock/771/771e17f2d7936a4808a2329f21db7ba2.png;;html;;;text;paviath;114;;kzqwnfd2;India;;PAVIATH ENGINEERING SOLUTION;;https://www.paviathintegratedsolution.com/;;;info@paviathintegratedsolution.com;914312480496;Reseller;Renga;;;
481;Solar Tech;379;Y;;;/upload/iblock/c2c/c2c8a07a179121a98432b9b93bb4c8c6.png;;html;;;text;solar-tech;127;;kzqwnfd2;South Korea;;Solar Tech;;www.quickcadcam.com;http://www.ascon.kr;;sales@cadcam1.co.kr;02-1661-3215;Reseller;KOMPAS;;;
486;PCB GraphTech (HQ);380;Y;;;/upload/iblock/874/8745402d7ee2a204f7109ac6e07ac678.png;;html;;;text;pcb-singapore;126;;kzqwnfd2;Singapore;;PCB GraphTech Pte Ltd;;https://pcb-graphtech.sg/;;;sales@pcbgt.com.sg;(65) 6909 5452;Reseller;KOMPAS;;;
488;ACAD SOLUTIONS (PCB GRAPHTECH SDN BHD);381;Y;;;/upload/iblock/2c9/2c92868a5bac56db6f5a13d12c8f0994.png;;html;;;text;acad-malaysia;118;;hko37enu;Malaysia;380;ACAD SOLUTIONS SDN BHD;;www.acad.com.my;;;sales@acad.com.my;(01) 0881 2498;Reseller;KOMPAS;;;
494;Encon Laos;382;Y;;;/upload/iblock/e55/e55c7b2daffa0ce0cd2ea7758a0ff0d6.png;;html;;;text;encon-laos;115;;hko37enu;Laos;345;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;;;info@encon-solutions.com;84 28 7109 9570;Expert Reseller;KOMPAS;;;
494;Encon Laos;382;Y;;;/upload/iblock/e55/e55c7b2daffa0ce0cd2ea7758a0ff0d6.png;;html;;;text;encon-laos;115;;hko37enu;Laos;345;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;;;info@encon-solutions.com;84 28 7109 9570;Expert Reseller;Pilot;;;
494;Encon Laos;382;Y;;;/upload/iblock/e55/e55c7b2daffa0ce0cd2ea7758a0ff0d6.png;;html;;;text;encon-laos;115;;hko37enu;Laos;345;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;;;info@encon-solutions.com;84 28 7109 9570;Expert Reseller;Renga;;;
497;Benson&Benson;383;Y;;;/upload/iblock/12a/12a67728b5d6925e2edb68676be384ba.png;;html;;;text;benson;134;;kzqwnfd2;United Arab Emirates;;Benson & Benson Oilfield & Natural Gas Equipments Trading LLC;/upload/iblock/39a/39a13725ea9df53941c25567efa7716b.svg;http://www.bensonnbenson.com/;http://www.bensonnbenson.com/software.html;;manager.operations@bensonnbenson.com;+971 4 340-65-40;Reseller;KOMPAS;;;
501;Paul van Munster;384;Y;;;/upload/iblock/855/85566dd006cbccf913d3058622d0a6b9.png;;html;;;text;paul-van-munster-au;102;;kzqwnfd2;Australia;;Paul van Munster;;http://www.kompas3d.com.au/;http://www.kompas3d.com.au/;;paulvanmunster@kompas3d.com.au;+61 0 07 31026502;Reseller;KOMPAS;;;
501;Paul van Munster;384;Y;;;/upload/iblock/855/85566dd006cbccf913d3058622d0a6b9.png;;html;;;text;paul-van-munster-au;102;;kzqwnfd2;Australia;;Paul van Munster;;http://www.kompas3d.com.au/;http://www.kompas3d.com.au/;;paulvanmunster@kompas3d.com.au;+61 0 04 33620607;Reseller;KOMPAS;;;
503;Novedge;385;Y;;;/upload/iblock/199/1990cc6ec509dbe47f5e144a7417ebe2.png;;html;;;text;novedge-canada;108;;hko37enu;Canada;386;NOVEDGE LLC;;https://novedge.com/collections/m-cad-products/products/7767;;;sales@novedge.com;+1 (415) 848 9018;Reseller;KOMPAS;;;
504;Novedge;386;Y;;;/upload/iblock/231/2313b3c805012c5c9f01e0ce9a70e967.png;;html;;;text;novedge;135;;kzqwnfd2;USA;;NOVEDGE LLC;;https://novedge.com/;https://novedge.com/collections/ascon;;sales@novedge.com;+1 (415) 848 9018;Reseller;KOMPAS;;;
504;Novedge;386;Y;;;/upload/iblock/231/2313b3c805012c5c9f01e0ce9a70e967.png;;html;;;text;novedge;135;;kzqwnfd2;USA;;NOVEDGE LLC;;https://novedge.com/;https://novedge.com/collections/ascon;;sales@novedge.com;(866) 362 8970;Reseller;KOMPAS;;;
504;Novedge;386;Y;;;/upload/iblock/231/2313b3c805012c5c9f01e0ce9a70e967.png;;html;;;text;novedge;135;;kzqwnfd2;USA;;NOVEDGE LLC;;https://novedge.com/;https://novedge.com/collections/ascon;;info@novedge.com;+1 (415) 848 9018;Reseller;KOMPAS;;;
504;Novedge;386;Y;;;/upload/iblock/231/2313b3c805012c5c9f01e0ce9a70e967.png;;html;;;text;novedge;135;;kzqwnfd2;USA;;NOVEDGE LLC;;https://novedge.com/;https://novedge.com/collections/ascon;;info@novedge.com;(866) 362 8970;Reseller;KOMPAS;;;
507;Softline de Venezuela;387;Y;;;/upload/iblock/a86/a86fdc41744b787a20fb7de5d563bc28.png;;html;;;text;softline-venezuela;136;;hko37enu;Venezuela;346;Softline International de Venezuela SLI, S.A.;;https://slinternational.co.ve/;;;info.venezuela@softlinegroup.com;+58 (212) 7406322;Reseller;KOMPAS;;;
505;Encon Thailand;388;Y;;;/upload/iblock/f8c/f8cae0cf58d69dde68a0fb053b9570b5.png;;html;;;text;encon-thailand;131;;hko37enu;Thailand;345;уточнить;;уточнить;;;уточнить;уточнить;Expert Reseller;KOMPAS;;;
505;Encon Thailand;388;Y;;;/upload/iblock/f8c/f8cae0cf58d69dde68a0fb053b9570b5.png;;html;;;text;encon-thailand;131;;hko37enu;Thailand;345;уточнить;;уточнить;;;уточнить;уточнить;Expert Reseller;Pilot;;;
505;Encon Thailand;388;Y;;;/upload/iblock/f8c/f8cae0cf58d69dde68a0fb053b9570b5.png;;html;;;text;encon-thailand;131;;hko37enu;Thailand;345;уточнить;;уточнить;;;уточнить;уточнить;Expert Reseller;Renga;;;
